Lottery Name,Draw Date,Draw Time,Next Draw Date,Next Draw Time,Numbers Drawn,Bonus Number
Lotto Max,27-Jan-23,22:30:00,31-Jan-23,22:30:00,"[4, 5, 9, 13, 29, 30, 35, 20]",20.0
Lotto 6/49,28-Jan-23,22:30:00,01-Feb-23,22:30:00,"[5, 12, 15, 26, 46, 48, 17]",17.0
Lottario,28-Jan-23,22:30:00,04-Feb-23,22:30:00,"[1, 17, 23, 31, 32, 35, 19]",19.0
Ontario 49,28-Jan-23,22:30:00,01-Feb-23,22:30:00,"[2, 3, 16, 17, 27, 36, 26]",26.0
Keno,30-Jan-23,Evening,31-Jan-23,Midday,"[1, 3, 8, 9, 12, 15, 20, 27, 29, 32, 34, 39, 40, 41, 48, 50, 58, 59, 66, 67]",
Pick 4,30-Jan-23,Evening,31-Jan-23,Midday,"[7, 6, 0, 2]",
Pick 3,30-Jan-23,Evening,31-Jan-23,Midday,"[7, 1, 5]",
Encore,30-Jan-23,Evening,31-Jan-23,Midday,"[6, 4, 3, 4, 5, 1, 7]",
Lotto Max,31 Jan 2023,22:30:00,03 Feb 2023,22:30:00,"[2, 6, 16, 23, 40, 41, 48, 31]",31
Keno,31 Jan 2023,Evening,01 Feb 2023,Midday,"[1, 4, 5, 6, 11, 15, 16, 20, 32, 35, 39, 42, 43, 44, 48, 49, 58, 60, 62, 64]",
Pick 4,31 Jan 2023,Evening,01 Feb 2023,Midday,"[1, 9, 2, 9]",
Pick 3,31 Jan 2023,Evening,01 Feb 2023,Midday,"[6, 1, 6]",
Encore,31 Jan 2023,Evening,01 Feb 2023,Midday,"[1, 5, 5, 4, 9, 7, 9]",
